"A1","45","20","9","9"
"A2","45","860","9","9"
"A3","45","1440","9","9"
"A4","908","680","9","9"
"A5","908","1440","9","9"
"A6","933","45","9","9"
"B1","65.3","390","6.8","6.8"
"B2","65.3","560","6.8","6.8"
"B3","215.3","390","6.8","6.8"
"B4","215.3","560","6.8","6.8"
"B5","264.46","1160.14","6.8","6.8"
"B6","264.46","1198.14","6.8","6.8"
"B7","529.69","475","6.8","6.8"
"B8","529.69","645","6.8","6.8"
"B9","529.69","815","6.8","6.8"
"B10","529.69","985","6.8","6.8"
"B11","530.31","334.66","6.8","6.8"
"B12","530.31","1125.34","6.8","6.8"
"B13","565.67","299.3","6.8","6.8"
"B14","565.67","1160.7","6.8","6.8"
"B15","618.73","987.35","6.8","6.8"
"B16","618.73","1025.35","6.8","6.8"
"B17","669.69","310","6.8","6.8"
"B18","669.69","1150","6.8","6.8"
"B19","759.51","813.5","6.8","6.8"
"B20","759.51","851.5","6.8","6.8"
"B21","786","257.69","6.8","6.8"
"B22","786","1202.31","6.8","6.8"
"B23","836.97","295.16","6.8","6.8"
"B24","836.97","333.16","6.8","6.8"
"B25","839.68","604.66","6.8","6.8"
"B26","839.68","642.66","6.8","6.8"
"B27","886","257.69","6.8","6.8"
"B28","886","1202.31","6.8","6.8"
"B29","911","850","6.8","6.8"
"B30","933","345","6.8","6.8"
"C1","65.3","415","10","10"
"C2","210.3","525","10","10"
"D1","110","135","50","50"
"D2","110","1325","50","50"
"D3","746","330","50","50"
"D4","906","400","50","50"
"D5","906","470","50","50"
"D6","911","1130","50","50"
"E1","131.4","15","5","5"
"E2","131.4","1445","5","5"
"E3","235.4","15","5","5"
"E4","235.4","1445","5","5"
"E5","445.2","15","5","5"
"E6","445.2","1445","5","5"
"E7","549.2","15","5","5"
"E8","549.2","1445","5","5"
"F1","143.4","15","6","6"
"F2","143.4","1445","6","6"
"F3","223.4","15","6","6"
"F4","223.4","1445","6","6"
"F5","457.2","15","6","6"
"F6","457.2","1445","6","6"
"F7","537.2","15","6","6"
"F8","537.2","1445","6","6"
"F9","609.69","370","6","6"
"F10","609.69","1090","6","6"
"F11","731","257.69","6","6"
"F12","731","1202.31","6","6"
"F13","941","257.69","6","6"
"F14","941","1202.31","6","6"
"G1","272.1","7","5","5"
"G2","272.5","1453","5","5"
"G3","408.1","7","5","5"
"G4","408.5","1453","5","5"
"H1","272.1","20","4.2","4.2"
"H2","272.5","1440","4.2","4.2"
"H3","408.1","20","4.2","4.2"
"H4","408.5","1440","4.2","4.2"
"J1","294","399","3.3","3.3"
"J2","294","431","3.3","3.3"
"J3","294","1029","3.3","3.3"
"J4","294","1061","3.3","3.3"
"K1","294","407.5","5","5"
"K2","294","422.5","5","5"
"K3","294","1037.5","5","5"
"K4","294","1052.5","5","5"
"L1","392.67","500","5","5"
"L2","392.67","542.5","5","5"
"L3","392.67","667.5","5","5"
"L4","392.67","792.5","5","5"
"L5","392.67","917.5","5","5"
"L6","392.67","960","5","5"
"L7","393.65","455.16","5","5"
"L8","393.65","1004.84","5","5"
"L9","398.79","418.03","5","5"
"L10","398.79","1041.97","5","5"
"L11","446.34","303.22","5","5"
"L12","446.34","1156.78","5","5"
"L13","534.22","215.34","5","5"
"L14","534.22","1244.66","5","5"
"L15","649.03","167.78","5","5"
"L16","649.03","1292.22","5","5"
"L17","686.16","162.65","5","5"
"L18","686.16","1297.35","5","5"
"L19","731","161.67","5","5"
"L20","731","1298.33","5","5"
"L21","773.5","161.67","5","5"
"L22","773.5","1298.33","5","5"
"L23","898.5","161.67","5","5"
"L24","898.5","1298.33","5","5"
"M1","392.67","522.5","6","6"
"M2","392.67","937.5","6","6"
"M3","761","161.67","6","6"
"M4","761","1298.33","6","6"
"N1","392.67","984","8","8"
"P1","856","25","3.3","3.3"
"P2","856","500","3.3","3.3"
"P3","856","960","3.3","3.3"
"P4","856","1420","3.3","3.3"
"R1","876.25","17","4.2","4.2"
"R2","876.25","300","4.2","4.2"
"R3","918.75","17","4.2","4.2"
"R4","918.75","300","4.2","4.2"
"T1","933","20","7","10"
"U1","933","1440","6.5","6.5"
